x1_PD009_right,y1_PD009_right,x2_PD009_right,y2_PD009_right,x1_PD012_left,y1_PD012_left,x2_PD012_left,y2_PD012_left,x1_PD004_left,y1_PD004_left,x2_PD004_left,y2_PD004_left,x1_PD013_right,y1_PD013_right,x2_PD013_right,y2_PD013_right,x1_PD002_left,y1_PD002_left,x2_PD002_left,y2_PD002_left,x1_PD008_right,y1_PD008_right,x2_PD008_right,y2_PD008_right,x1_PD011_right,y1_PD011_right,x2_PD011_right,y2_PD011_right,x1_PD003_left,y1_PD003_left,x2_PD003_left,y2_PD003_left,x1_PD001_right,y1_PD001_right,x2_PD001_right,y2_PD001_right,x1_PD006_left,y1_PD006_left,x2_PD006_left,y2_PD006_left,x1_PD010_left,y1_PD010_left,x2_PD010_left,y2_PD010_left,x1_PD007_right,y1_PD007_right,x2_PD007_right,y2_PD007_right,x1_PD005_right,y1_PD005_right,x2_PD005_right,y2_PD005_right
0.07,-0.9879,0.07,-0.0202,0.07,1.129,0.07,0.7056,0.07,0.8468,0.07,1.1089,0.07,-0.4839,0.07,-0.9677,0.07,0.1613,0.07,-1.2097,0.07,1.1694,0.07,0.9274,0.07,-1.8145,0.07,1.5121,0.07,-0.7258,0.07,1.875,0.07,0.7661,0.07,0.8669,0.07,-1.0282,0.07,-0.2621,0.07,0.3427,0.07,-0.0403,0.07,0.3226,0.07,-1.0484,0.07,-0.9073,0.07,0.4637
0.0733,-0.8669,0.0733,0.6048,0.0733,1.129,0.0733,0.7056,0.0733,0.8468,0.0733,1.1492,0.0733,-0.5242,0.0733,-1.129,0.0733,0.0403,0.0733,-1.0887,0.0733,1.2097,0.0733,0.8065,0.0733,-1.6935,0.0733,1.6129,0.0733,-0.6048,0.0733,2.1169,0.0733,0.4234,0.0733,0.7056,0.0733,-1.0887,0.0733,-0.0403,0.0733,0.7661,0.0733,0.0,0.0733,0.1411,0.0733,-1.0484,0.0733,-0.9677,0.0733,0.4234
0.0767,-0.9476,0.0767,0.3629,0.0767,1.0887,0.0767,0.8871,0.0767,0.8468,0.0767,1.1694,0.0767,-0.5847,0.0767,-0.9879,0.0767,0.2218,0.0767,-1.371,0.0767,1.3306,0.0767,0.5847,0.0767,-1.7944,0.0767,1.2702,0.0767,-0.6653,0.0767,2.2379,0.0767,0.625,0.0767,0.7863,0.0767,-0.9073,0.0767,-0.1613,0.0767,0.6452,0.0767,0.0202,0.0767,0.1411,0.0767,-0.9274,0.0767,-1.0887,0.0767,0.3024
0.08,-0.9879,0.08,0.4435,0.08,1.0887,0.08,0.746,0.08,0.746,0.08,1.25,0.08,-0.4032,0.08,-0.9879,0.08,0.1109,0.08,-1.1089,0.08,1.2298,0.08,0.6855,0.08,-1.7137,0.08,1.1492,0.08,-0.6653,0.08,2.3992,0.08,0.4637,0.08,0.8266,0.08,-0.8065,0.08,-0.1815,0.08,0.5242,0.08,0.0,0.08,0.1815,0.08,-1.0484,0.08,-1.0887,0.08,0.4435
0.0833,-1.0282,0.0833,0.4032,0.0833,0.9677,0.0833,0.7056,0.0833,0.7056,0.0833,1.0887,0.0833,-0.5444,0.0833,-0.9677,0.0833,0.0,0.0833,-1.1492,0.0833,1.2601,0.0833,0.746,0.0833,-1.6734,0.0833,1.0081,0.0833,-0.6452,0.0833,2.2984,0.0833,0.5645,0.0833,1.1492,0.0833,-0.9073,0.0833,-0.121,0.0833,0.5242,0.0833,-0.1008,0.0833,0.0806,0.0833,-0.9073,0.0833,-0.8266,0.0833,0.4032
0.0867,-1.0484,0.0867,0.3831,0.0867,1.2903,0.0867,0.746,0.0867,1.1492,0.0867,1.0081,0.0867,-0.5444,0.0867,-0.9274,0.0867,-0.0403,0.0867,-1.2298,0.0867,1.2903,0.0867,0.6048,0.0867,-1.754,0.0867,0.8669,0.0867,-0.7258,0.0867,2.379,0.0867,0.6855,0.0867,0.8266,0.0867,-0.8468,0.0867,-0.0605,0.0867,0.7661,0.0867,0.0,0.0867,0.1815,0.0867,-0.9879,0.0867,0.0,0.0867,0.3831
0.09,-0.9476,0.09,0.3427,0.09,1.0887,0.09,0.6653,0.09,0.7258,0.09,0.9476,0.09,-0.5645,0.09,-1.0081,0.09,0.4435,0.09,-1.0887,0.09,1.3206,0.09,0.7258,0.09,-1.6935,0.09,0.9073,0.09,-0.5847,0.09,2.3589,0.09,0.746,0.09,0.8065,0.09,-0.8468,0.09,-0.0202,0.09,0.5847,0.09,-0.1008,0.09,0.1411,0.09,-0.9274,0.09,0.1815,0.09,0.4435
0.0933,-0.8266,0.0933,0.4032,0.0933,1.0887,0.0933,0.7056,0.0933,0.5444,0.0933,1.0685,0.0933,-0.4637,0.0933,-0.9677,0.0933,0.2419,0.0933,-1.1895,0.0933,1.3508,0.0933,0.625,0.0933,-1.7137,0.0933,1.0685,0.0933,-0.6452,0.0933,2.5202,0.0933,0.746,0.0933,0.8669,0.0933,-0.9879,0.0933,-0.0403,0.0933,0.5847,0.0933,0.0202,0.0933,0.1815,0.0933,-0.9274,0.0933,0.4032,0.0933,0.4234
0.0967,-0.9476,0.0967,0.4839,0.0967,1.25,0.0967,0.6855,0.0967,0.746,0.0967,1.0484,0.0967,-0.4234,0.0967,-0.9879,0.0967,-0.1008,0.0967,-1.4718,0.0967,1.3105,0.0967,0.6653,0.0967,-1.754,0.0967,0.9677,0.0967,-0.625,0.0967,2.5,0.0967,0.5242,0.0967,0.8266,0.0967,-0.8669,0.0967,-0.1008,0.0967,0.5847,0.0967,-0.0202,0.0967,0.2016,0.0967,-0.9073,0.0967,0.625,0.0967,0.4637
0.1,-1.0484,0.1,0.4637,0.1,1.0887,0.1,0.6452,0.1,0.3831,0.1,1.0282,0.1,-0.5444,0.1,-1.0484,0.1,0.0403,0.1,-1.3508,0.1,1.25,0.1,0.8669,0.1,-1.8347,0.1,0.9677,0.1,-0.5847,0.1,2.5202,0.1,0.746,0.1,0.6653,0.1,-0.8669,0.1,-0.0806,0.1,0.504,0.1,-0.0403,0.1,0.1815,0.1,-1.0887,0.1,0.3226,0.1,0.504
