x1_PD009_right,y1_PD009_right,x2_PD009_right,y2_PD009_right,x1_PD012_left,y1_PD012_left,x2_PD012_left,y2_PD012_left,x1_PD004_left,y1_PD004_left,x2_PD004_left,y2_PD004_left,x1_PD013_right,y1_PD013_right,x2_PD013_right,y2_PD013_right,x1_PD002_left,y1_PD002_left,x2_PD002_left,y2_PD002_left,x1_PD008_right,y1_PD008_right,x2_PD008_right,y2_PD008_right,x1_PD011_right,y1_PD011_right,x2_PD011_right,y2_PD011_right,x1_PD003_left,y1_PD003_left,x2_PD003_left,y2_PD003_left,x1_PD001_right,y1_PD001_right,x2_PD001_right,y2_PD001_right,x1_PD006_left,y1_PD006_left,x2_PD006_left,y2_PD006_left,x1_PD010_left,y1_PD010_left,x2_PD010_left,y2_PD010_left,x1_PD007_right,y1_PD007_right,x2_PD007_right,y2_PD007_right,x1_PD005_right,y1_PD005_right,x2_PD005_right,y2_PD005_right
0.1033,1.1694,0.1033,2.3992,0.1033,0.1613,0.1033,3.5887,0.1033,6.7631,0.1033,-0.8871,0.1033,-0.4637,0.1033,-0.3024,0.1033,-0.6855,0.1033,-0.8266,0.1033,0.625,0.1033,0.746,0.1033,-0.8669,0.1033,-0.1411,0.1033,0.3226,0.1033,1.2903,0.1033,0.9073,0.1033,0.9677,0.1033,-0.6855,0.1033,0.0605,0.1033,1.5524,0.1033,0.5645,0.1033,0.8065,0.1033,-1.2994,0.1033,0.1815,0.1033,5.2016
0.1067,1.25,0.1067,2.379,0.1067,0.1411,0.1067,3.3871,0.1067,6.7782,0.1067,-0.6653,0.1067,-0.504,0.1067,-0.3427,0.1067,-1.2298,0.1067,-1.0081,0.1067,0.8266,0.1067,0.7661,0.1067,-0.7056,0.1067,-0.0202,0.1067,0.3427,0.1067,1.2903,0.1067,0.8266,0.1067,1.2702,0.1067,-0.6048,0.1067,-0.1008,0.1067,1.4516,0.1067,0.6048,0.1067,1.4516,0.1067,-1.2983,0.1067,-0.0202,0.1067,5.1008
0.11,1.4113,0.11,2.2581,0.11,0.1815,0.11,3.5484,0.11,6.7933,0.11,-0.7258,0.11,-0.504,0.11,-0.3629,0.11,-1.0887,0.11,-1.0685,0.11,0.5847,0.11,0.8065,0.11,-0.7258,0.11,-0.1815,0.11,0.4637,0.11,1.3508,0.11,0.7258,0.11,1.0484,0.11,-0.746,0.11,0.0806,0.11,1.1895,0.11,0.4839,0.11,1.5524,0.11,-1.2973,0.11,0.0806,0.11,5.2621
0.1133,1.2702,0.1133,2.3992,0.1133,0.0403,0.1133,3.4274,0.1133,6.8083,0.1133,-0.6452,0.1133,-0.504,0.1133,-0.3629,0.1133,-1.0081,0.1133,-0.8266,0.1133,0.5847,0.1133,0.7661,0.1133,-0.7258,0.1133,-0.2016,0.1133,0.4032,0.1133,1.4516,0.1133,0.8871,0.1133,1.0685,0.1133,-0.8871,0.1133,0.0605,0.1133,1.3911,0.1133,0.4839,0.1133,1.371,0.1133,-1.2962,0.1133,0.2218,0.1133,5.2419
0.1167,1.2903,0.1167,2.4194,0.1167,0.1815,0.1167,3.4677,0.1167,6.8234,0.1167,-0.6653,0.1167,-0.4637,0.1167,-0.3831,0.1167,-0.9879,0.1167,-1.3911,0.1167,0.5645,0.1167,0.6653,0.1167,-0.8266,0.1167,-0.1008,0.1167,0.3629,0.1167,1.4113,0.1167,0.6048,0.1167,1.129,0.1167,-0.8871,0.1167,-0.0605,0.1167,1.4516,0.1167,0.5645,0.1167,1.1492,0.1167,-1.2952,0.1167,0.1411,0.1167,5.1815
0.12,1.25,0.12,2.6411,0.12,0.2016,0.12,3.7097,0.12,6.8385,0.12,-0.625,0.12,-0.5847,0.12,-0.3024,0.12,-0.8669,0.12,-1.0887,0.12,0.6855,0.12,0.6452,0.12,-0.6653,0.12,-0.0806,0.12,0.4637,0.12,1.5927,0.12,0.9274,0.12,0.8871,0.12,-0.8871,0.12,0.0605,0.12,1.371,0.12,0.746,0.12,1.1089,0.12,-1.2941,0.12,0.2621,0.12,5.3226
0.1233,1.4113,0.1233,2.5202,0.1233,0.0202,0.1233,3.5081,0.1233,6.8536,0.1233,-0.6048,0.1233,-0.5645,0.1233,-0.3831,0.1233,-0.9879,0.1233,-1.2903,0.1233,0.7863,0.1233,0.7258,0.1233,-0.7863,0.1233,-0.0605,0.1233,0.3427,0.1233,1.6331,0.1233,0.6452,0.1233,1.1895,0.1233,-0.7661,0.1233,0.1008,0.1233,1.0484,0.1233,0.5242,0.1233,1.0887,0.1233,-1.2931,0.1233,0.3226,0.1233,5.1008
0.1267,1.4315,0.1267,2.6815,0.1267,0.0202,0.1267,3.5282,0.1267,6.8687,0.1267,-0.5645,0.1267,-0.504,0.1267,-0.3629,0.1267,-1.0484,0.1267,-1.1492,0.1267,0.7056,0.1267,0.5847,0.1267,-0.8065,0.1267,-0.1008,0.1267,0.3427,0.1267,1.5323,0.1267,0.9073,0.1267,0.9879,0.1267,-0.8669,0.1267,-0.0403,0.1267,1.3911,0.1267,0.5645,0.1267,1.0484,0.1267,-1.2921,0.1267,0.0806,0.1267,5.121
0.13,1.4919,0.13,2.4597,0.13,0.121,0.13,3.6089,0.13,6.8838,0.13,-0.6452,0.13,-0.504,0.13,-0.2621,0.13,-0.8266,0.13,-1.1089,0.13,0.8065,0.13,0.7661,0.13,-0.8065,0.13,-0.1613,0.13,0.3831,0.13,1.6532,0.13,0.8065,0.13,0.9476,0.13,-0.7258,0.13,-0.2419,0.13,1.371,0.13,0.625,0.13,0.9879,0.13,-1.291,0.13,0.1815,0.13,5.1008
0.1333,1.4113,0.1333,2.3992,0.1333,0.0202,0.1333,3.5081,0.1333,6.8989,0.1333,-0.6452,0.1333,-0.4032,0.1333,-0.2016,0.1333,-0.7661,0.1333,-0.9073,0.1333,0.8669,0.1333,0.746,0.1333,-0.6855,0.1333,-0.0605,0.1333,0.2218,0.1333,1.6532,0.1333,0.7661,0.1333,0.9274,0.1333,-0.6452,0.1333,-0.0202,0.1333,1.2903,0.1333,0.3629,0.1333,1.0484,0.1333,-1.29,0.1333,0.1008,0.1333,5.0202
0.1367,1.4315,0.1367,2.6613,0.1367,0.0,0.1367,3.5887,0.1367,6.914,0.1367,-0.8468,0.1367,-0.4435,0.1367,-0.2823,0.1367,-0.8871,0.1367,-1.3306,0.1367,0.8266,0.1367,0.4637,0.1367,-0.7661,0.1367,-0.0403,0.1367,0.3226,0.1367,1.5323,0.1367,0.8669,0.1367,1.1694,0.1367,-0.7056,0.1367,-0.0202,0.1367,1.3911,0.1367,0.4234,0.1367,1.0484,0.1367,-1.2889,0.1367,0.1008,0.1367,5.2016
0.14,1.3306,0.14,2.6008,0.14,0.0403,0.14,3.4879,0.14,6.929,0.14,-0.8065,0.14,-0.5242,0.14,-0.2823,0.14,-0.9879,0.14,-0.9879,0.14,0.7661,0.14,0.7258,0.14,-0.7661,0.14,-0.2419,0.14,0.3629,0.14,1.5524,0.14,0.7258,0.14,0.9677,0.14,-0.625,0.14,-0.0605,0.14,1.371,0.14,0.6452,0.14,1.0685,0.14,-1.2879,0.14,0.2016,0.14,5.0806
0.1433,1.4718,0.1433,2.5202,0.1433,0.0605,0.1433,3.629,0.1433,6.9441,0.1433,-0.625,0.1433,-0.5847,0.1433,-0.3831,0.1433,-1.1492,0.1433,-1.0887,0.1433,0.7863,0.1433,0.7056,0.1433,-0.7661,0.1433,-0.1411,0.1433,0.3629,0.1433,1.6532,0.1433,0.9274,0.1433,1.129,0.1433,-0.746,0.1433,0.0403,0.1433,1.3105,0.1433,0.5645,0.1433,1.1492,0.1433,-1.2868,0.1433,0.0605,0.1433,5.1008
0.1467,1.129,0.1467,2.5806,0.1467,0.0,0.1467,3.5685,0.1467,6.9592,0.1467,-0.504,0.1467,-0.5242,0.1467,-0.1613,0.1467,-0.9073,0.1467,-1.0887,0.1467,0.8871,0.1467,0.4839,0.1467,-0.7863,0.1467,-0.0806,0.1467,0.3629,0.1467,1.5726,0.1467,0.8871,0.1467,0.9073,0.1467,-0.8468,0.1467,-0.0403,0.1467,1.3306,0.1467,0.3427,0.1467,1.2097,0.1467,-1.2858,0.1467,0.2016,0.1467,5.2419
0.15,1.2702,0.15,2.4395,0.15,0.1411,0.15,3.6492,0.15,6.9743,0.15,-0.5847,0.15,-0.5645,0.15,-0.2823,0.15,-0.8871,0.15,-0.9274,0.15,0.5847,0.15,0.6653,0.15,-0.8065,0.15,-0.1008,0.15,0.4234,0.15,1.6935,0.15,0.5847,0.15,0.8669,0.15,-0.6855,0.15,0.0202,0.15,1.2298,0.15,0.4435,0.15,1.1694,0.15,-1.2848,0.15,0.1411,0.15,5.2016
0.1533,1.5323,0.1533,2.621,0.1533,0.0605,0.1533,3.7097,0.1533,6.9894,0.1533,-0.8669,0.1533,-0.5645,0.1533,-0.2419,0.1533,-1.0484,0.1533,-0.6653,0.1533,0.9073,0.1533,0.746,0.1533,-0.8065,0.1533,-0.1411,0.1533,0.3831,0.1533,1.6129,0.1533,1.0484,0.1533,1.129,0.1533,-0.8669,0.1533,-0.1008,0.1533,1.3911,0.1533,0.5242,0.1533,1.2298,0.1533,-1.2837,0.1533,0.1008,0.1533,5.121
