x1_PDPW112,y1_PDPW112,x2_PDPW112,y2_PDPW112,x1_PDQE107,y1_PDQE107,x2_PDQE107,y2_PDQE107,x1_PDPY101,y1_PDPY101,x2_PDPY101,y2_PDPY101,x1_PDQE108,y1_PDQE108,x2_PDQE108,y2_PDQE108,x1_PDQE115,y1_PDQE115,x2_PDQE115,y2_PDQE115,x1_PDQE112,y1_PDQE112,x2_PDQE112,y2_PDQE112,x1_PDQE113,y1_PDQE113,x2_PDQE113,y2_PDQE113,x1_PDPW107,y1_PDPW107,x2_PDPW107,y2_PDPW107,x1_PDPW106,y1_PDPW106,x2_PDPW106,y2_PDPW106,x1_PDPW111,y1_PDPW111,x2_PDPW111,y2_PDPW111,x1_PDPW110,y1_PDPW110,x2_PDPW110,y2_PDPW110,x1_PDQE104,y1_PDQE104,x2_PDQE104,y2_PDQE104,x1_PDQE105,y1_PDQE105,x2_PDQE105,y2_PDQE105,x1_PDQE102,y1_PDQE102,x2_PDQE102,y2_PDQE102,x1_PDPW102,y1_PDPW102,x2_PDPW102,y2_PDPW102
0.07,0.7863,0.07,-7.9234,0.07,0.3629,0.07,,0.07,1.4718,0.07,,0.07,2.4269,0.07,1.129,0.07,0.2621,0.07,-1.3239,0.07,-1.2702,0.07,0.0,0.07,1.3911,0.07,-1.3508,0.07,0.746,0.07,,0.07,-1.1089,0.07,,0.07,1.2097,0.07,1.3105,0.07,,0.07,-0.2578,0.07,1.1694,0.07,0.6048,0.07,-2.2379,0.07,0.4839,0.07,0.2823,0.07,0.7056,0.07,-0.2621,0.07,-1.2097
0.0733,0.8669,0.0733,-8.1048,0.0733,0.4435,0.0733,,0.0733,1.1694,0.0733,,0.0733,2.4237,0.0733,1.3911,0.0733,0.3831,0.0733,-1.371,0.0733,-1.371,0.0733,-0.2621,0.0733,1.5121,0.0733,-1.25,0.0733,0.6855,0.0733,,0.0733,-1.0484,0.0733,,0.0733,1.1492,0.0733,1.129,0.0733,,0.0733,-0.2322,0.0733,0.9879,0.0733,0.4435,0.0733,-2.1169,0.0733,0.7056,0.0733,0.2218,0.0733,0.8468,0.0733,-0.3226,0.0733,-1.0484
0.0767,0.8669,0.0767,-7.9637,0.0767,0.5645,0.0767,,0.0767,1.2903,0.0767,,0.0767,2.4206,0.0767,1.2903,0.0767,0.5645,0.0767,-1.8347,0.0767,-1.25,0.0767,-0.2218,0.0767,1.3911,0.0767,-1.1895,0.0767,0.6653,0.0767,,0.0767,-1.0685,0.0767,,0.0767,0.9073,0.0767,1.3306,0.0767,,0.0767,-0.2067,0.0767,0.8468,0.0767,0.8669,0.0767,-2.1371,0.0767,0.4839,0.0767,0.3226,0.0767,0.7661,0.0767,-0.2823,0.0767,-1.1089
0.08,1.0081,0.08,-8.004,0.08,0.504,0.08,,0.08,1.5121,0.08,,0.08,2.4174,0.08,1.2903,0.08,0.121,0.08,-1.5726,0.08,-1.25,0.08,-0.1008,0.08,1.4516,0.08,-1.3911,0.08,0.4435,0.08,,0.08,-1.1089,0.08,,0.08,0.7661,0.08,1.25,0.08,,0.08,-0.1811,0.08,0.8871,0.08,0.5847,0.08,-2.2379,0.08,0.5444,0.08,0.2419,0.08,0.8871,0.08,-0.3427,0.08,-1.0685
0.0833,0.8468,0.0833,-7.9637,0.0833,0.4435,0.0833,,0.0833,1.0282,0.0833,,0.0833,2.4143,0.0833,1.371,0.0833,0.6048,0.0833,-1.2903,0.0833,-1.2298,0.0833,-0.1008,0.0833,1.6532,0.0833,-1.4516,0.0833,0.625,0.0833,,0.0833,-1.1089,0.0833,,0.0833,0.8065,0.0833,1.1895,0.0833,,0.0833,-0.1555,0.0833,0.8871,0.0833,0.6653,0.0833,-2.0161,0.0833,0.8468,0.0833,0.3024,0.0833,0.4234,0.0833,-0.3629,0.0833,-1.0484
0.0867,0.625,0.0867,-7.8427,0.0867,0.4234,0.0867,,0.0867,1.2702,0.0867,,0.0867,2.4111,0.0867,1.3306,0.0867,0.121,0.0867,-1.5726,0.0867,-1.1895,0.0867,0.3226,0.0867,1.5524,0.0867,-1.2298,0.0867,0.625,0.0867,,0.0867,-0.9677,0.0867,,0.0867,0.7056,0.0867,1.2298,0.0867,,0.0867,-0.13,0.0867,0.9879,0.0867,0.4637,0.0867,-2.2782,0.0867,0.6048,0.0867,0.2016,0.0867,0.7258,0.0867,-0.2621,0.0867,-1.0282
0.09,0.7056,0.09,-7.9839,0.09,0.3427,0.09,,0.09,1.3508,0.09,,0.09,2.408,0.09,1.2298,0.09,0.3831,0.09,-1.4113,0.09,-1.4113,0.09,-0.0403,0.09,1.5726,0.09,-1.3105,0.09,0.5242,0.09,,0.09,-1.0081,0.09,,0.09,0.7863,0.09,1.25,0.09,,0.09,-0.1044,0.09,1.1895,0.09,0.6048,0.09,-2.2782,0.09,0.6048,0.09,0.3831,0.09,0.7863,0.09,-0.3226,0.09,-1.0484
0.0933,0.8065,0.0933,-7.9839,0.0933,0.5847,0.0933,,0.0933,1.2298,0.0933,,0.0933,2.4048,0.0933,1.25,0.0933,0.6653,0.0933,-1.4718,0.0933,-1.3911,0.0933,-0.121,0.0933,1.4516,0.0933,-1.25,0.0933,0.6452,0.0933,,0.0933,-1.0887,0.0933,,0.0933,0.8065,0.0933,1.1694,0.0933,,0.0933,-0.0788,0.0933,0.9879,0.0933,0.504,0.0933,-2.3992,0.0933,0.7056,0.0933,0.2621,0.0933,0.8669,0.0933,-0.1815,0.0933,-1.0282
0.0967,0.746,0.0967,-8.0847,0.0967,0.4234,0.0967,,0.0967,1.3508,0.0967,,0.0967,2.4016,0.0967,1.129,0.0967,0.2016,0.0967,-1.4785,0.0967,-1.2702,0.0967,-0.4032,0.0967,1.3508,0.0967,-1.2097,0.0967,0.5242,0.0967,,0.0967,-1.0484,0.0967,,0.0967,0.6452,0.0967,1.1895,0.0967,,0.0967,-0.0533,0.0967,1.1492,0.0967,0.4234,0.0967,-2.0968,0.0967,0.6452,0.0967,0.0605,0.0967,0.1815,0.0967,-0.4435,0.0967,-1.0685
0.1,0.7661,0.1,-7.8831,0.1,0.4032,0.1,,0.1,1.129,0.1,,0.1,2.3985,0.1,1.3911,0.1,0.2823,0.1,-1.4852,0.1,-1.2903,0.1,-0.6956,0.1,1.5121,0.1,-1.3911,0.1,0.4234,0.1,,0.1,-1.0484,0.1,,0.1,0.746,0.1,1.25,0.1,,0.1,-0.0277,0.1,0.9073,0.1,0.504,0.1,-2.379,0.1,0.3427,0.1,0.4435,0.1,1.0081,0.1,-0.3427,0.1,-1.0081
