x1_PD011,y1_PD011,x2_PD011,y2_PD011,x1_PD010,y1_PD010,x2_PD010,y2_PD010,x1_PD003,y1_PD003,x2_PD003,y2_PD003,x1_PD004,y1_PD004,x2_PD004,y2_PD004,x1_PD005,y1_PD005,x2_PD005,y2_PD005,x1_PD002,y1_PD002,x2_PD002,y2_PD002,x1_PD012,y1_PD012,x2_PD012,y2_PD012,x1_PD013,y1_PD013,x2_PD013,y2_PD013,x1_PD007,y1_PD007,x2_PD007,y2_PD007,x1_PD009,y1_PD009,x2_PD009,y2_PD009,x1_PD008,y1_PD008,x2_PD008,y2_PD008,x1_PD001,y1_PD001,x2_PD001,y2_PD001,x1_PD006,y1_PD006,x2_PD006,y2_PD006
0.1,-0.7258,0.1,-0.1815,0.1,1.6129,0.1,-0.2621,0.1,0.2218,0.1,-0.8669,0.1,,0.1,-0.7661,0.1,0.121,0.1,5.3226,0.1,-1.1492,0.1,-1.3911,0.1,-0.0403,0.1,,0.1,-0.5645,0.1,-0.3427,0.1,-1.129,0.1,-1.1054,0.1,1.3306,0.1,,0.1,0.8468,0.1,0.7056,0.1,0.6855,0.1,0.8669,0.1,-0.746,0.1,0.1411
0.1033,-0.8669,0.1033,-0.1411,0.1033,1.6129,0.1033,-0.1815,0.1033,0.121,0.1033,-1.0282,0.1033,,0.1033,-0.4839,0.1033,0.1008,0.1033,5.2016,0.1033,-0.9879,0.1033,-1.5323,0.1033,0.0605,0.1033,,0.1033,-0.5444,0.1033,-0.3024,0.1033,-1.129,0.1033,-1.1024,0.1033,1.371,0.1033,,0.1033,1.0282,0.1033,0.746,0.1033,0.9073,0.1033,0.9677,0.1033,-0.6855,0.1033,0.0806
0.1067,-0.7056,0.1067,-0.0202,0.1067,1.7137,0.1067,-0.0403,0.1067,0.3024,0.1067,-1.0081,0.1067,,0.1067,-0.5645,0.1067,0.3427,0.1067,5.1008,0.1067,-1.0685,0.1067,-1.4113,0.1067,-0.0605,0.1067,,0.1067,-0.625,0.1067,-0.3427,0.1067,-1.0484,0.1067,-1.0994,0.1067,1.1694,0.1067,,0.1067,0.9476,0.1067,0.7661,0.1067,0.8266,0.1067,1.2702,0.1067,-1.0081,0.1067,0.0
0.11,-0.7258,0.11,-0.1815,0.11,1.8347,0.11,-0.1613,0.11,0.121,0.11,-1.0887,0.11,,0.11,-0.504,0.11,0.2218,0.11,5.2621,0.11,-1.2702,0.11,-1.5524,0.11,-0.0202,0.11,,0.11,-0.4234,0.11,-0.3629,0.11,-1.0282,0.11,-1.0964,0.11,1.25,0.11,,0.11,0.7863,0.11,0.8065,0.11,0.7258,0.11,1.0484,0.11,-0.7863,0.11,0.121
0.1133,-0.7258,0.1133,-0.2016,0.1133,1.7339,0.1133,0.0202,0.1133,0.2419,0.1133,-0.9677,0.1133,,0.1133,-0.6048,0.1133,0.1815,0.1133,5.2419,0.1133,-1.1694,0.1133,-1.4718,0.1133,-0.1008,0.1133,,0.1133,-0.5242,0.1133,-0.3629,0.1133,-1.129,0.1133,-1.0934,0.1133,1.4113,0.1133,,0.1133,0.9274,0.1133,0.7661,0.1133,0.8871,0.1133,1.0685,0.1133,-0.7258,0.1133,0.0605
0.1167,-0.8266,0.1167,-0.1008,0.1167,1.5524,0.1167,0.121,0.1167,0.3226,0.1167,-0.9677,0.1167,,0.1167,-0.7258,0.1167,0.121,0.1167,5.1815,0.1167,-1.0887,0.1167,-1.4315,0.1167,-0.0806,0.1167,,0.1167,-0.4032,0.1167,-0.3831,0.1167,-1.0887,0.1167,-1.0904,0.1167,1.2702,0.1167,,0.1167,0.7863,0.1167,0.6653,0.1167,0.6048,0.1167,1.129,0.1167,-0.7056,0.1167,0.2621
0.12,-0.6653,0.12,-0.0806,0.12,1.5524,0.12,-0.0806,0.12,-0.0202,0.12,-0.9677,0.12,,0.12,-0.7258,0.12,-0.0202,0.12,5.3226,0.12,-1.0887,0.12,-1.5121,0.12,-0.0605,0.12,,0.12,-0.6653,0.12,-0.3024,0.12,-1.1089,0.12,-1.0874,0.12,1.2903,0.12,,0.12,0.7056,0.12,0.6452,0.12,0.9274,0.12,0.8871,0.12,-0.7258,0.12,0.1411
0.1233,-0.7863,0.1233,-0.0605,0.1233,1.5323,0.1233,-0.2016,0.1233,0.3024,0.1233,-1.0081,0.1233,,0.1233,-0.625,0.1233,0.0806,0.1233,5.1008,0.1233,-1.0282,0.1233,-1.4919,0.1233,-0.1008,0.1233,,0.1233,-0.6048,0.1233,-0.3831,0.1233,-1.1895,0.1233,-1.0844,0.1233,1.25,0.1233,,0.1233,0.6452,0.1233,0.7258,0.1233,0.6452,0.1233,1.1895,0.1233,-0.7863,0.1233,0.0202
0.1267,-0.8065,0.1267,-0.1008,0.1267,1.754,0.1267,-0.1411,0.1267,0.2621,0.1267,-1.0081,0.1267,,0.1267,-0.6048,0.1267,0.2218,0.1267,5.121,0.1267,-1.1089,0.1267,-1.5323,0.1267,-0.0202,0.1267,,0.1267,-0.5242,0.1267,-0.3629,0.1267,-1.0282,0.1267,-1.0814,0.1267,1.4113,0.1267,,0.1267,0.8669,0.1267,0.5847,0.1267,0.9073,0.1267,0.9879,0.1267,-0.7056,0.1267,0.1815
0.13,-0.8065,0.13,-0.1613,0.13,1.6734,0.13,-0.121,0.13,0.2016,0.13,-1.0484,0.13,,0.13,-0.504,0.13,0.1411,0.13,5.1008,0.13,-1.0484,0.13,-1.4315,0.13,0.0202,0.13,,0.13,-0.4839,0.13,-0.2621,0.13,-1.0282,0.13,-1.0784,0.13,1.4315,0.13,,0.13,0.6855,0.13,0.7661,0.13,0.8065,0.13,0.9476,0.13,-0.8871,0.13,0.0806
0.1333,-0.6855,0.1333,-0.0605,0.1333,1.6532,0.1333,-0.2419,0.1333,0.3226,0.1333,-0.9879,0.1333,,0.1333,-0.3427,0.1333,0.2621,0.1333,5.0202,0.1333,-1.1492,0.1333,-1.754,0.1333,-0.121,0.1333,,0.1333,-0.5444,0.1333,-0.2016,0.1333,-1.1089,0.1333,-1.0754,0.1333,1.4919,0.1333,,0.1333,0.6653,0.1333,0.746,0.1333,0.7661,0.1333,0.9274,0.1333,-0.8468,0.1333,0.1613
0.1367,-0.7661,0.1367,-0.0403,0.1367,1.371,0.1367,-0.121,0.1367,0.3024,0.1367,-0.9879,0.1367,,0.1367,-0.6452,0.1367,0.3226,0.1367,5.2016,0.1367,-0.9879,0.1367,-1.5726,0.1367,0.0605,0.1367,,0.1367,-0.504,0.1367,-0.2823,0.1367,-1.129,0.1367,-1.0724,0.1367,1.4113,0.1367,,0.1367,0.625,0.1367,0.4637,0.1367,0.8669,0.1367,1.1694,0.1367,-0.8065,0.1367,0.0605
0.14,-0.7661,0.14,-0.2419,0.14,1.5121,0.14,-0.0605,0.14,0.3427,0.14,-0.9476,0.14,,0.14,-0.4435,0.14,0.0806,0.14,5.0806,0.14,-1.0484,0.14,-1.5524,0.14,0.0403,0.14,,0.14,-0.4637,0.14,-0.2823,0.14,-1.0484,0.14,-1.0694,0.14,1.4315,0.14,,0.14,0.8266,0.14,0.7258,0.14,0.7258,0.14,0.9677,0.14,-0.7863,0.14,0.0605
0.1433,-0.7661,0.1433,-0.1411,0.1433,1.6129,0.1433,0.1815,0.1433,0.3024,0.1433,-0.8266,0.1433,,0.1433,-0.6048,0.1433,0.1815,0.1433,5.1008,0.1433,-1.1492,0.1433,-1.4315,0.1433,0.0202,0.1433,,0.1433,-0.504,0.1433,-0.3831,0.1433,-1.0484,0.1433,-1.0664,0.1433,1.3306,0.1433,,0.1433,0.5847,0.1433,0.7056,0.1433,0.9274,0.1433,1.129,0.1433,-0.8065,0.1433,0.0806
0.1467,-0.7863,0.1467,-0.0806,0.1467,1.8548,0.1467,0.121,0.1467,0.3024,0.1467,-0.9677,0.1467,,0.1467,-0.7056,0.1467,0.1008,0.1467,5.2419,0.1467,-1.1492,0.1467,-1.5927,0.1467,0.0,0.1467,,0.1467,-0.5645,0.1467,-0.1613,0.1467,-1.0282,0.1467,-1.0634,0.1467,1.4718,0.1467,,0.1467,0.5847,0.1467,0.4839,0.1467,0.8871,0.1467,0.9073,0.1467,-0.8266,0.1467,0.121
0.15,-0.8065,0.15,-0.1008,0.15,1.5726,0.15,-0.0403,0.15,0.3427,0.15,-1.0081,0.15,,0.15,-0.6048,0.15,0.1008,0.15,5.2016,0.15,-1.1492,0.15,-1.6734,0.15,0.0,0.15,,0.15,-0.4234,0.15,-0.2823,0.15,-1.0685,0.15,-1.0604,0.15,1.129,0.15,,0.15,0.5645,0.15,0.6653,0.15,0.5847,0.15,0.8669,0.15,-0.7863,0.15,0.1411
0.1533,-0.8065,0.1533,-0.1411,0.1533,1.5121,0.1533,-0.0605,0.1533,0.2823,0.1533,-0.9274,0.1533,,0.1533,-0.4839,0.1533,0.2016,0.1533,5.121,0.1533,-1.1694,0.1533,-1.4919,0.1533,-0.0202,0.1533,,0.1533,-0.625,0.1533,-0.2419,0.1533,-1.1089,0.1533,-1.0574,0.1533,1.2702,0.1533,,0.1533,0.6855,0.1533,0.746,0.1533,1.0484,0.1533,1.129,0.1533,-0.8468,0.1533,0.0403
0.1567,-0.8266,0.1567,-0.121,0.1567,1.8548,0.1567,-0.2419,0.1567,0.4234,0.1567,-0.9073,0.1567,,0.1567,-0.746,0.1567,0.0605,0.1567,5.0202,0.1567,-1.2298,0.1567,-1.5121,0.1567,-0.0403,0.1567,,0.1567,-0.4637,0.1567,-0.3629,0.1567,-1.0685,0.1567,-1.0544,0.1567,1.371,0.1567,,0.1567,0.6452,0.1567,0.6048,0.1567,0.8669,0.1567,0.9476,0.1567,-0.7258,0.1567,0.121
0.16,-0.8871,0.16,-0.0806,0.16,1.5121,0.16,-0.1008,0.16,0.1815,0.16,-1.129,0.16,,0.16,-0.5645,0.16,0.2016,0.16,5.121,0.16,-1.1492,0.16,-1.5927,0.16,-0.1008,0.16,,0.16,-0.6048,0.16,-0.3226,0.16,-1.0887,0.16,-1.0514,0.16,1.5323,0.16,,0.16,0.7863,0.16,0.3629,0.16,0.8468,0.16,0.9073,0.16,-0.7056,0.16,0.0605
0.1633,-0.8871,0.1633,-0.0605,0.1633,1.6129,0.1633,-0.2419,0.1633,0.2016,0.1633,-0.9879,0.1633,,0.1633,-0.6855,0.1633,0.1411,0.1633,5.1008,0.1633,-1.2097,0.1633,-1.3306,0.1633,-0.0605,0.1633,,0.1633,-0.5444,0.1633,-0.4435,0.1633,-1.129,0.1633,-1.0484,0.1633,1.4718,0.1633,,0.1633,0.7056,0.1633,0.6048,0.1633,0.7258,0.1633,0.9879,0.1633,-0.746,0.1633,0.1815
0.1667,-0.746,0.1667,-0.1008,0.1667,1.5121,0.1667,0.0806,0.1667,0.3024,0.1667,-0.9677,0.1667,,0.1667,-0.7258,0.1667,0.2823,0.1667,5.0605,0.1667,-1.1694,0.1667,-1.6734,0.1667,-0.121,0.1667,,0.1667,-0.504,0.1667,-0.2218,0.1667,-1.1089,0.1667,-1.0669,0.1667,1.3306,0.1667,,0.1667,0.8065,0.1667,0.5645,0.1667,0.8871,0.1667,1.0685,0.1667,-0.6855,0.1667,0.0403
0.17,-0.8266,0.17,-0.0605,0.17,1.4919,0.17,0.1815,0.17,-0.0605,0.17,-0.9879,0.17,,0.17,-0.5242,0.17,0.1008,0.17,5.2621,0.17,-1.1694,0.17,-1.371,0.17,0.0202,0.17,,0.17,-0.504,0.17,-0.1411,0.17,-1.1694,0.17,-1.0853,0.17,1.4113,0.17,,0.17,0.8669,0.17,0.7258,0.17,0.7863,0.17,0.8669,0.17,-0.8871,0.17,0.0
