x1_PDPW102_right,y1_PDPW102_right,x2_PDPW102_right,y2_PDPW102_right,x1_PDPW112_left,y1_PDPW112_left,x2_PDPW112_left,y2_PDPW112_left,x1_PDQE102_right,y1_PDQE102_right,x2_PDQE102_right,y2_PDQE102_right,x1_PDPW106_right,y1_PDPW106_right,x2_PDPW106_right,y2_PDPW106_right,x1_PDQE107_left,y1_PDQE107_left,x2_PDQE107_left,y2_PDQE107_left,x1_PDQE105_right,y1_PDQE105_right,x2_PDQE105_right,y2_PDQE105_right,x1_PDPW110_right,y1_PDPW110_right,x2_PDPW110_right,y2_PDPW110_right,x1_PDPY101_right,y1_PDPY101_right,x2_PDPY101_right,y2_PDPY101_right,x1_PDQE112_left,y1_PDQE112_left,x2_PDQE112_left,y2_PDQE112_left,x1_PDQE104_left,y1_PDQE104_left,x2_PDQE104_left,y2_PDQE104_left,x1_PDQE113_right,y1_PDQE113_right,x2_PDQE113_right,y2_PDQE113_right,x1_PDQE108_right,y1_PDQE108_right,x2_PDQE108_right,y2_PDQE108_right,x1_PDQE115_right,y1_PDQE115_right,x2_PDQE115_right,y2_PDQE115_right,x1_PDPW111_left,y1_PDPW111_left,x2_PDPW111_left,y2_PDPW111_left,x1_PDPW107_left,y1_PDPW107_left,x2_PDPW107_left,y2_PDPW107_left
0.07,-0.2621,0.07,-1.2097,0.07,1.5524,0.07,-1.129,0.07,0.2823,0.07,0.8871,0.07,1.0484,0.07,-0.1613,0.07,1.0887,0.07,1.754,0.07,-2.2379,0.07,0.3427,0.07,0.9722,0.07,-0.2322,0.07,1.4718,0.07,0.3226,0.07,-0.8871,0.07,-0.9073,0.07,1.1492,0.07,0.9677,0.07,1.4516,0.07,-2.3185,0.07,2.4202,0.07,1.371,0.07,0.3831,0.07,-0.2016,0.07,1.1694,0.07,1.371,0.07,1.1694,0.07,1.6129
0.0733,-0.3226,0.0733,-1.0484,0.0733,1.4718,0.0733,-1.371,0.0733,0.2218,0.0733,0.4234,0.0733,1.0484,0.0733,-0.0806,0.0733,1.1492,0.0733,1.8952,0.0733,-2.1169,0.0733,0.5444,0.0733,0.9815,0.0733,-0.2067,0.0733,1.1694,0.0733,0.4032,0.0733,-1.1694,0.0733,-0.8065,0.0733,1.1089,0.0733,0.9476,0.0733,1.5121,0.0733,-2.3185,0.0733,2.4164,0.0733,1.3508,0.0733,0.5645,0.0733,-0.0605,0.0733,1.0282,0.0733,1.4315,0.0733,1.0685,0.0733,1.4315
0.0767,-0.2823,0.0767,-1.1089,0.0767,1.4919,0.0767,-0.9879,0.0767,0.3226,0.0767,0.7258,0.0767,1.0282,0.0767,-0.0202,0.0767,1.3508,0.0767,1.7339,0.0767,-2.1371,0.0767,0.5847,0.0767,0.9908,0.0767,-0.1811,0.0767,1.2903,0.0767,0.0806,0.0767,-1.1694,0.0767,-0.6855,0.0767,1.0685,0.0767,0.9274,0.0767,1.4516,0.0767,-2.3185,0.0767,2.4125,0.0767,1.1895,0.0767,0.121,0.0767,0.0806,0.0767,0.7056,0.0767,1.3911,0.0767,1.2903,0.0767,1.6734
0.08,-0.3427,0.08,-1.0685,0.08,1.6129,0.08,-1.1492,0.08,0.2419,0.08,0.8669,0.08,0.9879,0.08,-0.121,0.08,1.3306,0.08,1.754,0.08,-2.2379,0.08,0.4839,0.08,1.0001,0.08,-0.1555,0.08,1.5121,0.08,0.1411,0.08,-1.4718,0.08,-0.8266,0.08,1.1089,0.08,1.0081,0.08,1.6331,0.08,-1.4113,0.08,2.4087,0.08,0.5444,0.08,0.6048,0.08,-0.3226,0.08,0.7661,0.08,1.4718,0.08,1.0282,0.08,1.6734
0.0833,-0.3629,0.0833,-1.0484,0.0833,1.6331,0.0833,-1.1492,0.0833,0.3024,0.0833,0.1815,0.0833,0.9879,0.0833,-0.1008,0.0833,1.7137,0.0833,1.8548,0.0833,-2.0161,0.0833,0.5847,0.0833,1.0094,0.0833,-0.13,0.0833,1.0282,0.0833,0.6653,0.0833,-1.5323,0.0833,-0.7056,0.0833,1.1089,0.0833,0.8871,0.0833,1.2702,0.0833,-0.7863,0.0833,2.4048,0.0833,0.1815,0.0833,0.121,0.0833,-0.6452,0.0833,0.4435,0.0833,1.4113,0.0833,1.1492,0.0833,1.5726
0.0867,-0.2621,0.0867,-1.0282,0.0867,1.4113,0.0867,-1.129,0.0867,0.2016,0.0867,0.5242,0.0867,1.0887,0.0867,-0.0806,0.0867,1.4315,0.0867,1.8347,0.0867,-2.2782,0.0867,0.5847,0.0867,1.0187,0.0867,-0.1044,0.0867,1.2702,0.0867,1.5927,0.0867,-1.2097,0.0867,-0.8065,0.0867,1.2903,0.0867,1.0685,0.0867,1.371,0.0867,-0.121,0.0867,2.4009,0.0867,-0.2621,0.0867,0.3831,0.0867,-0.4032,0.0867,0.6048,0.0867,1.4516,0.0867,1.2097,0.0867,1.7137
0.09,-0.3226,0.09,-1.0484,0.09,1.3911,0.09,-1.1694,0.09,0.3831,0.09,1.1492,0.09,1.1089,0.09,-0.0605,0.09,1.4919,0.09,1.6532,0.09,-2.2782,0.09,0.4637,0.09,1.028,0.09,-0.0788,0.09,1.3508,0.09,2.5806,0.09,-1.3105,0.09,-0.6855,0.09,1.1694,0.09,0.8871,0.09,1.5726,0.09,0.121,0.09,2.3971,0.09,-0.7056,0.09,0.6653,0.09,-0.4035,0.09,0.6048,0.09,1.4516,0.09,1.1492,0.09,1.6935
0.0933,-0.1815,0.0933,-1.0282,0.0933,1.5323,0.0933,-1.0282,0.0933,0.2621,0.0933,0.746,0.0933,0.9879,0.0933,-0.2218,0.0933,1.4919,0.0933,1.7944,0.0933,-2.3992,0.0933,0.7258,0.0933,1.0373,0.0933,-0.0533,0.0933,1.2298,0.0933,2.6613,0.0933,-1.5323,0.0933,-0.4637,0.0933,1.1492,0.0933,0.9677,0.0933,1.3105,0.0933,0.2419,0.0933,2.3932,0.0933,-0.4234,0.0933,0.2016,0.0933,-0.4037,0.0933,0.5645,0.0933,1.4113,0.0933,1.0685,0.0933,1.7137
0.0967,-0.4435,0.0967,-1.0685,0.0967,1.4718,0.0967,-1.1492,0.0967,0.0605,0.0967,0.746,0.0967,1.0081,0.0967,-0.0806,0.0967,1.25,0.0967,1.9153,0.0967,-2.0968,0.0967,0.3831,0.0967,1.0466,0.0967,-0.0277,0.0967,1.3508,0.0967,2.8024,0.0967,-1.5726,0.0967,-0.6653,0.0967,1.1492,0.0967,0.9274,0.0967,1.4919,0.0967,0.0,0.0967,2.3894,0.0967,-0.0202,0.0967,0.2823,0.0967,-0.4039,0.0967,0.6452,0.0967,1.371,0.0967,1.0484,0.0967,1.6734
0.1,-0.3427,0.1,-1.0081,0.1,1.5726,0.1,-1.2298,0.1,0.4435,0.1,1.0887,0.1,1.0484,0.1,-0.1411,0.1,1.4315,0.1,1.8145,0.1,-2.379,0.1,0.504,0.1,1.0559,0.1,-0.0022,0.1,1.129,0.1,2.8629,0.1,-1.2298,0.1,-0.746,0.1,1.0484,0.1,0.9677,0.1,1.5323,0.1,-0.2218,0.1,2.3855,0.1,0.0202,0.1,0.3226,0.1,-0.4042,0.1,0.746,0.1,1.3306,0.1,1.2903,0.1,1.6331
