x1_PDPW102_right,y1_PDPW102_right,x2_PDPW102_right,y2_PDPW102_right,x1_PDPW112_left,y1_PDPW112_left,x2_PDPW112_left,y2_PDPW112_left,x1_PDQE102_right,y1_PDQE102_right,x2_PDQE102_right,y2_PDQE102_right,x1_PDPW106_right,y1_PDPW106_right,x2_PDPW106_right,y2_PDPW106_right,x1_PDQE107_left,y1_PDQE107_left,x2_PDQE107_left,y2_PDQE107_left,x1_PDQE105_right,y1_PDQE105_right,x2_PDQE105_right,y2_PDQE105_right,x1_PDPW110_right,y1_PDPW110_right,x2_PDPW110_right,y2_PDPW110_right,x1_PDPY101_right,y1_PDPY101_right,x2_PDPY101_right,y2_PDPY101_right,x1_PDQE112_left,y1_PDQE112_left,x2_PDQE112_left,y2_PDQE112_left,x1_PDQE104_left,y1_PDQE104_left,x2_PDQE104_left,y2_PDQE104_left,x1_PDQE113_right,y1_PDQE113_right,x2_PDQE113_right,y2_PDQE113_right,x1_PDQE108_right,y1_PDQE108_right,x2_PDQE108_right,y2_PDQE108_right,x1_PDQE115_right,y1_PDQE115_right,x2_PDQE115_right,y2_PDQE115_right,x1_PDPW111_left,y1_PDPW111_left,x2_PDPW111_left,y2_PDPW111_left,x1_PDPW107_left,y1_PDPW107_left,x2_PDPW107_left,y2_PDPW107_left
0.07,-1.7742,0.07,3.3266,0.07,0.8669,0.07,0.2016,0.07,0.4839,0.07,1.875,0.07,-0.5645,0.07,-0.8468,0.07,1.996,0.07,-4.0927,0.07,-0.7661,0.07,-0.4637,0.07,0.2823,0.07,1.875,0.07,0.0806,0.07,0.4435,0.07,0.1008,0.07,1.2702,0.07,-1.0484,0.07,-0.8669,0.07,0.0202,0.07,-1.3105,0.07,3.7298,0.07,1.875,0.07,0.5847,0.07,-1.5927,0.07,-1.1694,0.07,7.7535,0.07,0.4234,0.07,1.0282
0.0733,-1.3508,0.0733,3.4073,0.0733,0.8065,0.0733,-0.1411,0.0733,0.7056,0.0733,1.5927,0.0733,-0.6048,0.0733,-0.7863,0.0733,2.0363,0.0733,-3.4476,0.0733,-0.8871,0.0733,-0.5444,0.0733,0.4234,0.0733,1.8548,0.0733,0.2419,0.0733,0.3427,0.0733,0.2621,0.0733,1.5121,0.0733,-1.0282,0.0733,-0.8669,0.0733,0.0605,0.0733,-1.25,0.0733,3.871,0.0733,1.7742,0.0733,0.2823,0.0733,-1.6734,0.0733,-1.1089,0.0733,7.7103,0.0733,0.4435,0.0733,0.9476
0.0767,-0.6653,0.0767,3.5081,0.0767,0.9677,0.0767,0.1411,0.0767,0.7661,0.0767,2.1169,0.0767,-0.625,0.0767,-0.7863,0.0767,1.9153,0.0767,-3.246,0.0767,-1.0685,0.0767,-0.3226,0.0767,0.1008,0.0767,1.2298,0.0767,0.1815,0.0767,0.2218,0.0767,0.2419,0.0767,1.3105,0.0767,-0.9677,0.0767,-1.0081,0.0767,0.6048,0.0767,-1.1895,0.0767,3.7097,0.0767,1.6935,0.0767,0.5444,0.0767,-1.6331,0.0767,-1.25,0.0767,7.6671,0.0767,0.4032,0.0767,1.129
0.08,-0.7661,0.08,3.4677,0.08,1.0282,0.08,0.2016,0.08,0.4234,0.08,1.5121,0.08,-0.6048,0.08,-0.8065,0.08,1.9355,0.08,-2.9435,0.08,-0.746,0.08,-0.4032,0.08,0.3226,0.08,1.0887,0.08,0.3024,0.08,0.3024,0.08,0.0806,0.08,1.5927,0.08,-0.9274,0.08,-0.8669,0.08,0.3629,0.08,-1.2903,0.08,3.8105,0.08,1.7742,0.08,0.6048,0.08,-1.2298,0.08,-1.129,0.08,7.6238,0.08,0.3226,0.08,0.9476
0.0833,-0.9879,0.0833,3.6694,0.0833,0.7863,0.0833,-0.1815,0.0833,0.3831,0.0833,1.9153,0.0833,-0.5645,0.0833,-0.8065,0.0833,2.0363,0.0833,-2.9637,0.0833,-0.9073,0.0833,-0.2621,0.0833,0.3427,0.0833,0.746,0.0833,0.121,0.0833,0.3024,0.0833,0.1008,0.0833,1.5121,0.0833,-1.0484,0.0833,-0.8266,0.0833,0.4234,0.0833,-1.3911,0.0833,3.9516,0.0833,1.8347,0.0833,0.4435,0.0833,-1.2702,0.0833,-1.0887,0.0833,7.5806,0.0833,0.5242,0.0833,1.0282
0.0867,-1.2903,0.0867,3.5081,0.0867,1.129,0.0867,-0.1815,0.0867,0.3427,0.0867,2.0565,0.0867,-0.5444,0.0867,-0.7661,0.0867,1.9153,0.0867,-3.004,0.0867,-0.6452,0.0867,-0.4839,0.0867,0.4637,0.0867,1.7339,0.0867,0.3226,0.0867,0.4839,0.0867,0.2419,0.0867,1.5927,0.0867,-0.7863,0.0867,-0.8065,0.0867,0.2218,0.0867,-1.3306,0.0867,3.75,0.0867,1.9355,0.0867,0.5645,0.0867,-1.5323,0.0867,-1.0282,0.0867,7.8427,0.0867,0.4032,0.0867,1.0887
0.09,-1.4315,0.09,3.5685,0.09,0.9677,0.09,-0.2218,0.09,0.4234,0.09,1.996,0.09,-0.5847,0.09,0.0806,0.09,2.0161,0.09,-3.1653,0.09,-0.8871,0.09,-0.3024,0.09,0.2621,0.09,1.371,0.09,0.0,0.09,0.4234,0.09,0.3427,0.09,1.371,0.09,-0.8468,0.09,-0.6452,0.09,0.2621,0.09,-1.1895,0.09,3.7903,0.09,1.8548,0.09,0.4435,0.09,-1.25,0.09,-1.1694,0.09,7.6613,0.09,0.4234,0.09,0.8468
0.0933,-1.129,0.0933,3.7097,0.0933,0.9274,0.0933,-0.1411,0.0933,0.4032,0.0933,1.7339,0.0933,-0.5444,0.0933,0.5242,0.0933,2.1169,0.0933,-3.0242,0.0933,-0.625,0.0933,-0.2016,0.0933,0.3831,0.0933,0.8669,0.0933,0.3226,0.0933,0.5242,0.0933,0.2419,0.0933,1.5323,0.0933,-1.0685,0.0933,-0.9073,0.0933,0.0605,0.0933,-1.1089,0.0933,3.9113,0.0933,1.5524,0.0933,0.4839,0.0933,-1.4919,0.0933,-1.1089,0.0933,7.621,0.0933,0.4032,0.0933,0.9274
0.0967,-1.2097,0.0967,3.7298,0.0967,1.0282,0.0967,-0.2218,0.0967,0.2218,0.0967,1.8548,0.0967,-0.4839,0.0967,0.8669,0.0967,2.0565,0.0967,-3.004,0.0967,-1.0887,0.0967,-0.5242,0.0967,0.3427,0.0967,0.9173,0.0967,0.121,0.0967,0.8065,0.0967,0.2419,0.0967,1.3911,0.0967,-0.9274,0.0967,-1.0484,0.0967,0.1714,0.0967,-1.1048,0.0967,3.7903,0.0967,1.5121,0.0967,0.4637,0.0967,-1.2903,0.0967,-1.1089,0.0967,7.5202,0.0967,0.4032,0.0967,0.9476
0.1,-1.129,0.1,3.5685,0.1,0.8871,0.1,-0.1613,0.1,0.5444,0.1,1.754,0.1,-0.5847,0.1,0.8266,0.1,1.8952,0.1,-3.246,0.1,-0.9879,0.1,-0.121,0.1,0.504,0.1,0.9677,0.1,0.3226,0.1,1.4516,0.1,0.1411,0.1,1.5726,0.1,-1.129,0.1,-0.9274,0.1,0.2823,0.1,-1.1008,0.1,3.9315,0.1,1.8145,0.1,0.4435,0.1,-1.1492,0.1,-1.1492,0.1,7.4901,0.1,0.4234,0.1,0.9879
